ID	Nom du Produit	Catégorie	Tag / Étiquette	Prix (FCFA)	Description	URL Image
27	Gel Douche Bio Énergisant 500ml	Beaute-Soins	Bas Prix	2 900 FCFA	Aux extraits d'agrumes et d'aloe vera pour réveiller la peau.	https://images.unsplash.com/photo-1585232351009-aa87416fec90?auto=format&fit=crop&w=600&q=80
28	Lisseur Professionnel Vapeur Titane	Beaute-Soins	Pro	35 000 FCFA	Technologie vapeur ionique protégeant la fibre capillaire.	https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&w=600&q=80
29	Vernis à Ongles Longue Tenue (Rouge Intense)	Beaute-Soins	Bas Prix	1 200 FCFA	Finition brillante effet gel sans lampe UV.	https://images.unsplash.com/photo-1632345031435-8727f6897d53?auto=format&fit=crop&w=600&q=80
30	Rouge à Lèvres Mat Velours Velvet	Beaute-Soins	Tendance	4 900 FCFA	Couleur haute pigmentation qui ne dessèche pas les lèvres.	https://images.unsplash.com/photo-1586495777744-4413f21062fa?auto=format&fit=crop&w=600&q=80
31	Sèche-Cheveux Supersonique Ionique	Beaute-Soins	Luxe	98 000 FCFA	Séchage ultra-rapide avec contrôle intelligent de la chaleur.	https://images.unsplash.com/photo-1527799820374-dcf8d9d4a388?auto=format&fit=crop&w=600&q=80
32	Masque Argile Verte Detox 100g	Beaute-Soins	Bas Prix	2 000 FCFA	Resserre les pores et affine le grain de peau.	https://images.unsplash.com/photo-1567928269937-ae146e45b428?auto=format&fit=crop&w=600&q=80
33	Eau de Toilette Homme Fraîcheur Marine 100ml	Beaute-Soins	Populaire	14 500 FCFA	Senteur dynamique idéale pour l'été et le sport.	https://images.unsplash.com/photo-1523293182086-7651a899d37f?auto=format&fit=crop&w=600&q=80
34	Kit Pinceaux de Maquillage Ultra Doux (12 pcs)	Beaute-Soins	Bas Prix	6 000 FCFA	Poils synthétiques haute densité pour un teint parfait.	https://images.unsplash.com/photo-1596462502278-27bfdc403348?auto=format&fit=crop&w=600&q=80
35	Casquette Urban Street Style	Equipement	Bas Prix	3 500 FCFA	Casquette ajustable 100% coton avec broderie frontale.	https://i.pinimg.com/736x/fc/85/ec/fc85ec89d0c85f9b7441fd15b68e1e3d.jpg
36	Montre Chronographe Suisse en Or Rose	Equipement	Luxe	320 000 FCFA	Mouvement automatique d'exception, verre saphir inrayable et bracelet cuir noble.	https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=600&q=80
37	Lunettes de Soleil Polarisées UV400	Equipement	meilleures-ventes	5 500 FCFA	Monture légère et verres protecteurs anti-éblouissement.	https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=600
38	Sac à Main Haute Maroquinerie Cuir It-Bag	Equipement	Luxe	210 000 FCFA	Sac de designer assemblé à la main, fermoir plaqué or.	https://images.unsplash.com/photo-1584917865442-de89df76afd3?auto=format&fit=crop&w=600&q=80
39	Ceinture Homme Simili Cuir Reversible	Equipement	Bas Prix	4 000 FCFA	Double face noir et marron avec boucle classique argentée.	https://images.unsplash.com/photo-1624222247344-550fb60583dc?auto=format&fit=crop&w=600&q=80
40	Baskets Sneakers Designer Édition Limitée	Equipement	Collector	140 000 FCFA	Sneakers de collection aux finitions rares et confort coussin d'air.	https://i.pinimg.com/1200x/20/0f/03/200f031ddfe44c11fe37bae7353896cf.jpg
41	Portefeuille Compact Mince Anti-RFID	Equipement	Bas Prix	3 000 FCFA	Protège vos cartes bancaires contre le piratage à distance.	https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=600&q=80
42	Collier Diamant Synthétique & Argent 925	Equipement	Élégance	45 000 FCFA	Pendentif scintillant monté sur une chaîne fine en argent sterling.	https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&w=600&q=80
43	Sac à Dos Voyage Waterproof avec Port USB	Equipement	Pratique	12 500 FCFA	Sac ordinateur renforcé pour voyages et déplacements professionnels.	https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=600&q=80
44	Lunettes de Soleil De Designer Cadre Or	Equipement	Luxe	85 000 FCFA	Style iconique avec monture dorée et verres teintés haut de gamme.	https://i.pinimg.com/1200x/16/26/ad/1626adbfdb78ffee1c87ea8d6b6f8bf2.jpg
45	Chapeau de Paille d'Été Wide-Brim	Equipement	Bas Prix	4 800 FCFA	Protection solaire élégante pour la plage et les promenades.	https://images.unsplash.com/photo-1521369909029-2afed882baee?auto=format&fit=crop&w=600&q=80
46	Montre Homme Business Cadran Noir	Equipement	Tendance	16 500 FCFA	Monture en acier inoxydable noire avec affichage de la date.	https://i.pinimg.com/736x/55/75/4f/55754f21b118cfde8e52c490eecdf264.jpg
47	Chaussures Mocassins Homme en Cuir Suédé	Equipement	Style	28 000 FCFA	Mocassins confortables et chic pour un look casual chic.	https://i.pinimg.com/736x/dd/6f/8e/dd6f8e15d9d0cdac861883f68635292f.jpg
48	Sandales Élégantes Cuir & Strass	Equipement	Bas Prix	8 500 FCFA	Sandales plates légères ornées de pierres scintillantes.	https://i.pinimg.com/736x/19/6a/aa/196aaa7740e1ae0ce8307ebbe3cbad38.jpg
49	Gants en Cuir Véritable Doublés Soie	Equipement	Luxe	38 000 FCFA	Accessoire d'hiver ultra chic au toucher d'une douceur incomparable.	https://images.unsplash.com/photo-1516762689617-e1cffffd478d?auto=format&fit=crop&w=600&q=80
50	Bracelet Homme Perles de Pierre de Lave & Argent	Equipement	Bas Prix	3 500 FCFA	Bracelet élastique tendance aux vertus apaisantes.	https://i.pinimg.com/736x/b6/e0/9e/b6e09e5c7f64645d63effe981b5e2732.jpg
